ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
201301,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,3.0,GB,2.0,,,,,,0.0,,,,5.0,RIS
201302,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,2.0,RIS
201303,0.11,-0.3,-0.61,-0.08,-0.56,RIPE,1.0,1.0,GB,2.0,Global,Not Disclosed,Restrictive,0.0,0.0,1.0,,,,2.0,RIS
201304,0.11,-0.3,-0.61,-0.08,-0.56,RIPE,1.0,1.0,GB,2.0,Global,Not Disclosed,Restrictive,0.0,0.0,1.0,,,,2.0,RIS
201305,-0.03,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,2.0,RIS
201307,-0.03,-0.3,-0.51,0.0,-0.02,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,2.0,RIS
201311,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,NL,2.0,,,,,,0.0,,,,2.0,RIS
201314,-0.03,-0.22,-0.49,-0.29,-0.07,RIPE,1.0,1.0,PL,3.0,Europe,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,,1.0,RIS
201318,0.11,-0.22,-0.39,-0.29,-0.25,RIPE,1.0,3.0,DE,3.0,Regional,Government,Open,0.0,0.0,1.0,,,,1.0,RIS
201323,-0.03,-0.22,-0.49,0.0,-0.02,RIPE,2.0,2.0,PL,3.0,,,,,,0.0,,,,2.0,RIS
201324,0.11,-0.22,-0.16,0.0,-0.02,RIPE,1.0,1.0,FR,8.0,,,,,,0.0,,,,1.0,RIS
201325,0.11,-0.14,-0.61,0.0,-0.02,RIPE,1.0,18.0,FR,2.0,,,,,,0.0,,,,36.0,RIS
201326,0.0,-0.3,-0.61,0.0,-0.02,RIPE,1.0,2.0,BG,2.0,,,,,,0.0,,,,4.0,RIS
201328,-0.03,-0.22,-0.22,0.0,-0.02,RIPE,1.0,2.0,PL,5.0,,,,,,0.0,,,,2.0,RIS
201329,0.11,-0.17,-0.61,-0.29,-0.07,RIPE,1.0,4.0,CH,2.0,Regional,Enterprise,Open,0.0,0.0,1.0,,,,4.0,RIS
201330,0.11,-0.22,-0.06,0.0,-0.02,RIPE,1.0,1.0,NL,9.0,,,,,,0.0,,,,1.0,RIS
201337,0.1,-0.09,-0.39,0.0,-0.02,RIPE,1.0,19.0,ES,3.0,,,,,,0.0,,,,37.0,RIS
201339,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,,1.0,RIS
201340,-0.04,-0.17,-0.39,0.0,-0.02,RIPE,1.0,7.0,AE,4.0,,,,,,0.0,,,,6.0,RIS
201341,0.09,-0.06,-0.39,-0.29,-0.09,RIPE,1.0,99.0,LT,4.0,Global,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,,198.0,RIS
201342,-0.03,-0.25,-0.06,0.0,-0.02,RIPE,1.0,2.0,PL,8.0,,,,,,0.0,,,,2.0,RIS
201346,0.1,-0.17,-0.39,0.0,-0.02,RIPE,1.0,4.0,ES,4.0,,,,,,0.0,,,,4.0,RIS
201347,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,AT,2.0,,,,,,0.0,,,,1.0,RIS
201352,0.11,-0.17,-0.38,0.0,-0.02,RIPE,1.0,4.0,IT,5.0,,,,,,0.0,,,,8.0,RIS
201356,-0.24,-0.17,-0.61,0.0,-0.02,RIPE,1.0,4.0,GE,2.0,,,,,,0.0,,,,10.0,RIS
201358,0.11,-0.22,-0.39,0.0,-0.02,RIPE,1.0,3.0,GB,4.0,,,,,,0.0,,,,4.0,RIS
201359,0.1,-0.3,-0.16,-0.29,-0.23,RIPE,1.0,1.0,ES,12.0,Not Disclosed,Enterprise,Open,0.0,1.0,1.0,,,,1.0,RIS
201362,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,IT,2.0,,,,,,0.0,,,,1.0,RIS
201364,-0.07,-0.09,-0.49,-0.19,-0.36,RIPE,2.0,19.0,TR,3.0,Europe,Not Disclosed,Open,0.0,2.0,1.0,,,,38.0,RIS
201365,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,3.0,CH,2.0,,,,,,0.0,,,,3.0,RIS
201370,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,,1.0,RIS
201372,0.11,-0.22,-0.15,-0.29,-0.22,RIPE,1.0,1.0,NL,15.0,Europe,Content,Open,1.0,1.0,1.0,,,,1.0,RIS
201375,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,GB,2.0,,,,,,0.0,,,,2.0,RIS
201378,-0.18,-0.17,-0.51,0.0,-0.02,RIPE,2.0,7.0,KW,2.0,,,,,,0.0,,,,8.0,RIS
201381,0.1,-0.3,-0.39,0.0,-0.02,RIPE,1.0,2.0,RO,3.0,,,,,,0.0,,,,2.0,RIS
201385,0.1,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,,2.0,RIS
201387,0.1,-0.22,-0.39,0.0,-0.02,RIPE,1.0,2.0,RO,3.0,,,,,,0.0,,,,2.0,RIS
201390,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,2.0,RIS
201394,0.03,-0.3,-0.39,0.0,-0.02,RIPE,1.0,2.0,RU,3.0,,,,,,0.0,,,,2.0,RIS
201395,-0.26,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,SI,2.0,,,,,,0.0,,,,1.0,RIS
