ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
34702,0.05,0.01,-0.09,-0.19,-0.01,RIPE,2.0,100.0,EE,3.0,Regional,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,,,Atlas
34703,0.04,-0.01,-0.03,0.0,-0.01,RIPE,1.0,7.0,RU,3.0,,,,,,0.0,,,,,Atlas
34704,0.05,0.02,-0.09,0.0,-0.01,RIPE,3.0,19.0,FR,4.0,,,,,,0.0,,,,,Atlas
34706,0.04,-0.18,-0.03,0.19,0.07,RIPE,1.0,1.0,RU,3.0,Europe,Content,Selective,0.0,2.0,1.0,,,,,Atlas
34707,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,,Atlas
397672,-0.13,-0.05,-0.12,-0.19,-0.01,ARIN,1.0,7.0,US,2.0,North America,Cable/DSL/ISP,Open,0.0,1.0,1.0,,,,,Atlas
34709,0.04,0.04,-0.03,0.0,-0.01,RIPE,3.0,19.0,RU,5.0,,,,,,0.0,,,,,Atlas
34711,0.03,-0.18,-0.03,0.0,-0.01,RIPE,1.0,1.0,RO,3.0,,,,,,0.0,,,,,Atlas
397673,-0.13,-0.18,-0.12,-0.12,-0.28,ARIN,1.0,2.0,US,2.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,,,Atlas
34714,0.03,0.04,0.05,0.19,-0.04,RIPE,4.0,21.0,RO,14.0,Regional,Cable/DSL/ISP,Selective,1.0,2.0,1.0,,,,,Atlas
34717,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,SI,2.0,,,,,,0.0,,,,,Atlas
34718,0.01,0.06,0.02,0.1,0.02,RIPE,16.0,103.0,UZ,16.0,Regional,Cable/DSL/ISP,Selective,0.0,1.0,1.0,,,,,Atlas
397674,-0.28,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,PR,2.0,,,,,,0.0,,,,,Atlas
34722,0.05,-0.04,-0.12,0.0,-0.01,RIPE,1.0,15.0,DE,2.0,,,,,,0.0,,,,,Atlas
34723,0.03,0.02,0.02,-0.1,-0.01,RIPE,3.0,7.0,RO,12.0,Regional,NSP,Open,1.0,2.0,1.0,1.0,,,,Atlas
34724,0.05,-0.01,-0.12,0.0,-0.01,RIPE,1.0,6.0,RS,2.0,,,,,,0.0,,,,,Atlas
34729,0.05,-0.18,-0.03,0.0,-0.01,RIPE,1.0,1.0,EE,3.0,,,,,,0.0,,,,,Atlas
